node_id,latitude,longitude
348,-7.116421,-34.8241086
349,-7.1184638,-34.8245538
350,-7.1182437,-34.8254538
351,-7.1180367,-34.8263198
352,-7.1166557,-34.8231072
353,-7.113948,-34.826348
354,-7.1142566,-34.8245342
355,-7.1145917,-34.8225967
356,-7.1162183,-34.824992
357,-7.1144159,-34.823644
358,-7.1160212,-34.8258724
359,-7.1124818,-34.8247323
360,-7.1127428,-34.8255672
361,-7.1130248,-34.8264232
362,-7.112421,-34.8257254
363,-7.1122863,-34.8241257
364,-7.1108385,-34.8255115
365,-7.1112438,-34.8263088
366,-7.1110361,-34.8246968
367,-7.1117371,-34.8260722
368,-7.1113309,-34.8252752
369,-7.1119238,-34.8249754
370,-7.1115918,-34.8244783
371,-7.1122123,-34.8238722
372,-7.1119463,-34.8229443
373,-7.1111963,-34.8236817
374,-7.1111863,-34.8231442
375,-7.1121344,-34.8235826
376,-7.1097169,-34.8260241
377,-7.1101371,-34.8258101
378,-7.1107691,-34.8255353
379,-7.110456,-34.8265147
380,-7.1095375,-34.8250551
381,-7.1089525,-34.8257072
382,-7.108573,-34.825366
383,-7.1093872,-34.8262361
384,-7.1108409,-34.8232439
385,-7.1077638,-34.8263461
386,-7.0925533,-34.8380907
387,-7.0925483,-34.8385725
388,-7.0924279,-34.8392504
389,-7.0876462,-34.8444468
390,-7.0882058,-34.8450869
391,-7.0866966,-34.8458581
392,-7.08665,-34.8451862
393,-7.0898547,-34.8415679
394,-7.0892053,-34.8421472
395,-7.0890605,-34.8385333
396,-7.0891374,-34.8404427
397,-7.0897533,-34.8383768
398,-7.0891334,-34.8398848
399,-7.0897895,-34.8398794
400,-7.0897561,-34.8385396
401,-7.0897749,-34.8391995
402,-7.0885351,-34.8427428
403,-7.0884881,-34.8409726
404,-7.0878115,-34.8409929
405,-7.0884671,-34.8404304
406,-7.087358,-34.8424771
407,-7.0866886,-34.8418991
408,-7.0867126,-34.8425764
409,-7.0884364,-34.8389681
410,-7.0886165,-34.8387729
411,-7.0887519,-34.8386891
412,-7.0887143,-34.8384831
413,-7.0884972,-34.8386983
414,-7.096566,-34.8364665
415,-7.0965561,-34.8356184
416,-7.0945336,-34.8371413
417,-7.0847735,-34.8459868
418,-7.0849727,-34.8446509
419,-7.0848753,-34.8453008
420,-7.0850583,-34.8437646
421,-7.0848527,-34.8439772
422,-7.0851062,-34.8439731
423,-7.0849552,-34.8434468
424,-7.0847995,-34.8428064
425,-7.0860392,-34.8420051
426,-7.0853844,-34.8420896
427,-7.0846444,-34.8421533
428,-7.0859613,-34.8399331
429,-7.0853178,-34.8399813
430,-7.0819321,-34.8396729
431,-7.0826669,-34.8400131
432,-7.0785131,-34.8394169
433,-7.0780632,-34.8384263
434,-7.0769894,-34.8383918
435,-7.0777338,-34.8381463
436,-7.077602,-34.8377877
437,-7.0780885,-34.8352191
438,-7.0786655,-34.8365481
439,-7.0789104,-34.837326
440,-7.0793209,-34.8328212
441,-7.0780133,-34.8337125
442,-7.0782544,-34.8331652
443,-7.0773333,-34.8370021
444,-7.0768096,-34.8324028
445,-7.0768881,-34.8336111
446,-7.0768521,-34.8330291
447,-7.075975,-34.8324087
448,-7.1418175,-34.8758613
449,-7.1357663,-34.8845313
450,-7.1356071,-34.8837805
451,-7.130201,-34.8824669
452,-7.1337348,-34.8818339
453,-7.1347741,-34.8817648
454,-7.1387003,-34.8775296
455,-7.1355938,-34.8788144
456,-7.1364401,-34.879725
457,-7.1360103,-34.8774827
458,-7.1385267,-34.8760007
459,-7.1359092,-34.8722886
460,-7.1359591,-34.875302
461,-7.1365958,-34.8755112
462,-7.1374661,-34.8757473
463,-7.1329757,-34.878815
464,-7.1322191,-34.8815006
465,-7.1302194,-34.8788443
466,-7.1302249,-34.8805491
467,-7.1325863,-34.8802172
468,-7.1323894,-34.8774612
469,-7.1323273,-34.8788247
470,-7.1343369,-34.8741581
471,-7.1339738,-34.8753937
472,-7.1337873,-34.8760685
473,-7.1341566,-34.8747602
474,-7.1334503,-34.8738806
475,-7.134987,-34.8720069
476,-7.1344217,-34.871176
477,-7.1352383,-34.8710476
478,-7.1345869,-34.8733167
479,-7.1347787,-34.8726478
480,-7.1326616,-34.8713653
481,-7.1340797,-34.871748
482,-7.133328,-34.871533
483,-7.1341931,-34.8707375
484,-7.1336934,-34.873056
485,-7.1338726,-34.8723968
486,-7.1316221,-34.874831
487,-7.1324869,-34.8749742
488,-7.1316189,-34.8753208
489,-7.1324706,-34.8754777
490,-7.1325092,-34.874268
491,-7.1325358,-34.8736042
492,-7.1301844,-34.8744685
493,-7.1302085,-34.8755973
494,-7.1309335,-34.8754513
495,-7.1319831,-34.871128
496,-7.1325833,-34.8727373
497,-7.1316302,-34.8726831
498,-7.1326166,-34.8720232
499,-7.1301482,-34.8713656
500,-7.1302563,-34.8713656
501,-7.1303161,-34.8706249
502,-7.130208,-34.8715134
503,-7.1313019,-34.8709219
504,-7.1267876,-34.8847025
505,-7.1283559,-34.8841205
506,-7.1218638,-34.8842674
507,-7.1278404,-34.8812968
508,-7.127851,-34.8808913
509,-7.1291216,-34.8807171
510,-7.1285742,-34.8774424
511,-7.1260827,-34.8790324
512,-7.1261882,-34.8790383
513,-7.1260506,-34.8813446
514,-7.1297439,-34.8713679
515,-7.1255035,-34.8710923
516,-7.1267079,-34.8717323
517,-7.1264421,-34.8722016
518,-7.1252587,-34.8715838
519,-7.1231826,-34.8777065
520,-7.1236788,-34.8814475
521,-7.1199146,-34.8779941
522,-7.1245893,-34.8728934
523,-7.1216144,-34.8769824
524,-7.1234881,-34.8723241
525,-7.1227854,-34.8739516
526,-7.1240922,-34.8709917
527,-7.1354075,-34.8704231
528,-7.1344141,-34.8699664
529,-7.1331399,-34.8695219
530,-7.1329316,-34.8703539
531,-7.1338026,-34.8697391
532,-7.1335975,-34.8705447
533,-7.1325012,-34.8692939
534,-7.1316142,-34.8688909
535,-7.1309722,-34.8697673
536,-7.1315817,-34.8699703
537,-7.1318584,-34.8690002
538,-7.1322417,-34.8701655
539,-7.1305317,-34.8624221
540,-7.1305717,-34.8650862
541,-7.1310241,-34.86265
542,-7.1281708,-34.8693473
543,-7.1288174,-34.8682596
544,-7.1274484,-34.868972
545,-7.1279807,-34.8678495
546,-7.1289841,-34.8656769
547,-7.127446,-34.8669125
548,-7.1279186,-34.8659039
549,-7.1277198,-34.8663729
550,-7.128489,-34.8667471
551,-7.1294257,-34.8671814
552,-7.1294724,-34.8658955
553,-7.1291012,-34.8677644
554,-7.1265212,-34.868967
555,-7.126368,-34.8684787
556,-7.1268026,-34.8682773
557,-7.125564,-34.8680949
558,-7.1265158,-34.8671741
559,-7.1259739,-34.8671468
560,-7.1250829,-34.8664913
561,-7.1246461,-34.8676823
562,-7.125584,-34.8653618
563,-7.1247057,-34.8663045
564,-7.1252121,-34.8652008
565,-7.1248337,-34.8670217
